name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
Prince of the City,1981,exact,Prince of the City,1981,"NYPD officer, Daniel Ciello's involved in some questionable police practices. He's approached by IAB, and in exchange for him potentially being let off he's instructed to begin looking at the inner workings of police corruption. Danny agrees as long as he doesn't have to turn on his partners but he soon learns he cannot trust anyone. He must decide whose side he's on and who's on his.","Crime, Drama","Treat Williams, Jerry Orbach, Richard Foronjy","Jay Presson Allen, Sidney Lumet, Robert Daley",Sidney Lumet,7.4
The Hand,1981,exact,The Hand,1981,"Jon Lansdale is a comic book artist who loses his right hand in a car accident. The hand was not found at the scene of the accident, but it soon returns by itself to follow Jon around, and murder those who anger him.","Drama, Horror, Thriller","Michael Caine, Andrea Marcovicci, Annie McEnroe","Marc Brandel, Oliver Stone",Oliver Stone,5.5
Continental Divide,1981,exact,Continental Divide,1981,"Ernie Souchak (John Belushi), a tough Chicago reporter, gets a little too close to the Mob, and is assaulted by two crooked police officers sent by a crooked councilman, and ends up in the hospital. To take the heat off of him, his editor sends him to Colorado to investigate an eagle researcher ('Blair Brown'). Sparring partners at first, the pair eventually fall in love, but Souchak must return to Chicago when one of his sources is mysteriously killed.","Comedy, Romance","John Belushi, Blair Brown, Allen Garfield",Lawrence Kasdan,Michael Apted,6.2
Diva,1981,exact,Diva,1981,"A young opera-loving mailman, Jules, becomes inadvertently entangled in murder, when a young woman fleeing two mob hit men drops an incriminating cassette into his mailbag. Jules has just recently recorded opera star Cynthia Hawkins' latest concert, something of a coup as Hawkins refuses to make recordings of any kind. Soon Jules finds himself the target of the hit men, who want the voice recording, and also of another couple of ominous and mysterious agents.","Crime, Music, Thriller","Wilhelmenia Fernandez, Frédéric Andréi, Roland Bertin","Daniel Odier, Jean-Jacques Beineix, Jean Van Hamme",Jean-Jacques Beineix,7.1
Venom,1981,exact,Venom,1981,"International terrorists attempt to kidnap a wealthy couples child. Their plan comes unstuck when, a deadly Black Mamba sent by mistake instead of a harmless snake, escapes, and the terrorists and several hostages are trapped in the boy's London home. A tense evening is had by all as the snake creeps around the house picking off the various characters one by one.","Horror, Thriller","Klaus Kinski, Oliver Reed, Nicol Williamson","Alan Scholefield, Robert Carrington","Piers Haggard, Tobe Hooper",5.8
Fort Apache the Bronx,1981,exact,Fort Apache the Bronx,1981,"From the sight of a police officer this movie depicts the life in New York's infamous South Bronx. In the center is ""Fort Apache"", as the officers call their police station, which really seems like an outpost in enemy's country. The story follows officer Murphy, who seems to be a tuff cynic, but in truth he's a moralist with a sense for justice.","Crime, Drama","Paul Newman, Edward Asner, Ken Wahl","Heywood Gould, Thomas Mulhearn, Pete Tessitore",Daniel Petrie,6.7
Eyes of a Stranger,1981,exact,Eyes of a Stranger,1981,Enterprising local news anchor Jane Harris discovers that one of her neighbors is actually the serial killer/rapist who has been terrorizing the city. Jane must prove her suspicions before the killer gets to her.,"Horror, Thriller","Lauren Tewes, Jennifer Jason Leigh, John DiSanti","Ron Kurz, Eric L. Bloom",Ken Wiederhorn,5.9
Zorro: The Gay Blade,1981,exact,Zorro: The Gay Blade,1981,"Mexico, 1840s. When the new Spanish Governor begins to grind the peasants under his heel, wealthy landowner Don Diego Vega follows in his late father's footsteps and becomes Zorro, the masked man in black with a sword who rights wrongs and becomes a folk hero to the people of Mexico. When Vega sprains his ankle and cannot continue his campaign against the corrupt Captain Esteban, his long-lost twin brother Ramon arrives to visit. Bunny was sent off by their father to the British Royal Navy to make a ""man"" of him, for he is flamboyantly gay, and now known as Lt. Bunny Wigglesworth. 'Bunny' agrees to temporarily take his brother's place as Zorro, but opts make changes in the established Zorro persona. Bunny becomes ""the Gay Blade,"" and his new costumes are lemon, plum, and scarlet colored. He insists on using a whip. Bunny also becomes the liaison between Don Vega and the liberal American activist/feminist Charlotte, a long-time critic of Captain Esteban's policies, and who has a crush on her masked hero.","Action, Adventure, Comedy","George Hamilton, Lauren Hutton, Brenda Vaccaro","Hal Dresner, Greg Alt, Don Moriarty",Peter Medak,6.2
Under the Rainbow,1981,exact,Under the Rainbow,1981,"In 1938 Los Angeles, the manager of the Culver Hotel leaves his nephew in charge for a weekend. The nephew changes the name to the Hotel Rainbow and overbooks with royalty, assassins, secret agents, Japanese tourists, and munchkins (from the cast of The Wizard of Oz (1939)). Secret Service agent Bruce Thorpe and casting director Annie Clark find romance amidst the intrigue and confusion.",Comedy,"Chevy Chase, Carrie Fisher, Eve Arden","Fred Bauer, Pat Bradley, Pat McCormick",Steve Rash,5.3
Carbon Copy,1981,exact,Carbon Copy,1981,"A white corporate executive is surprised to discover that he has a black teen-age son who can't wait to be adopted into the almost exclusively white community of San Marino, California.","Comedy, Drama","George Segal, Susan Saint James, Jack Warden",Stanley Shapiro,Michael Schultz,5.6
The Incredible Shrinking Woman,1981,exact,The Incredible Shrinking Woman,1981,"After being exposed to a bizarre mixture of household chemicals, Pat Kramer begins to shrink. This baffles scientists, makes parenting difficult, warms the hearts of Americans, and captures the attention of a group of people who want to take over the world. This evil group plots to kidnap Pat and perform experiments on her so that they can eventually shrink everyone.","Comedy, Sci-Fi","Lily Tomlin, Charles Grodin, Ned Beatty","Richard Matheson, Jane Wagner",Joel Schumacher,5.5
The Night the Lights Went Out in Georgia,1981,exact,The Night the Lights Went Out in Georgia,1981,"Country singer Travis (Dennis Quaid) and his younger sister Amanda (Kristy McNichol) travel to Nashville, Tennessee to find fame as singers. After getting into trouble with the law, Travis is sentenced to work detail at a prison farm. Amanda falls in love with Conrad (Mark Hamill), who tries to help Travis.","Drama, Music","Kristy McNichol, Dennis Quaid, Mark Hamill","Bob Bonney, Bobby Russell",Ron Maxwell,5.9
Quartet,1981,exact,Quartet,1981,"It's 1927 Paris. Following the conviction of her art dealer husband, Stephan Zelli (Anthony Higgins), for theft for which he was handed a one-year prison sentence, Marya Zelli (Isabelle Adjani), originally from West India, moves in with her acquaintances, expatriate Brits H.J. (Sir Alan Bates) and Lois Heidler (Dame Maggie Smith). Marya knows that H.J. in particular has more in mind than just providing her lodging out of the goodness of his heart. From behind bars, Stephan encourages Marya to move in with them, not knowing H.J.'s intentions. Marya agrees in part because she, being a foreigner, cannot get work and would thus become destitute otherwise. She learns she is the latest in a long line of lodgers. She also learns that H.J. and Lois' marriage is not all that it appears on the surface. The Heidler's hold on Marya becomes stronger when they convince her that Stephan not only has no money, but has no future in France after his release. Their collective lives become more complicated when Stephan is released from jail and tries to figure out what he's going to do with his life to regain the high standard of living to which he became accustomed.","Drama, Romance","Isabelle Adjani, Suzanne Flon, Sébastien Floche","Jean Rhys, Ruth Prawer Jhabvala, Michel Maingois",James Ivory,6.2
Graduation Day,1981,exact,Graduation Day,1981,"After a high school track runner, named Laura, suddenly dies from a heart attack after finishing a 30-second 200-meter race, a killer wearing a sweat suit and a fencing mask begins killing off her friends on the school track team one by one. The suspects include the track coach Michaels, Laura's sister Anne who arrives in town for the funeral, the creepy school principal Mr. Guglione, and Laura's strange boyfriend Kevin.","Horror, Mystery, Thriller","Christopher George, Patch Mackenzie, E. Danny Murphy","Anne Marisse, Herb Freed, David Baughn",Herb Freed,4.8
Modern Problems,1981,exact,Modern Problems,1981,"Jealous, harried air traffic controller Max Fiedler, recently dumped by his girlfriend, comes into contact with nuclear waste and is granted the power of telekinesis, which he uses not only to win her back, but to gain a little re...","Comedy, Fantasy, Sci-Fi","Chevy Chase, Patti D'Arbanville, Dabney Coleman","Ken Shapiro, Tom Sherohman, Arthur Sellers",Ken Shapiro,5.0
Pennies from Heaven,1981,exact,Pennies from Heaven,1981,"In Chicago during the 1930s Depression, sheet-music salesman Arthur Parker is trying to sell his products, but it's not easy to convince unwilling music-store owners to buy them. Although he's already married to the somewhat drab Joan, when he meets schoolteacher Eileen in a music store, he falls in love with her.","Drama, Musical, Romance","Steve Martin, Bernadette Peters, Jessica Harper",Dennis Potter,Herbert Ross,6.5
American Pop,1981,exact,American Pop,1981,"""American Pop"" is the animated story of a very talented and troubled family starting with 19th century Russia and moving through several generations of musicians. The film covers American popular music from the pre-jazz age through rhythm and blues, 1950s rock 'n' roll, drug-laden psychedelia, and punk rock, finally ending with the onset of New Wave in the early 1980s.","Animation, Drama, History","Mews Small, Ron Thompson, Jerry Holland",Ronni Kern,Ralph Bakshi,7.2
The Legend of the Lone Ranger,1981,exact,The Legend of the Lone Ranger,1981,"When the young Texas Ranger, John Reid (Klinton Spilsbury), is the sole survivor of an ambush arranged by the outlaw leader, Bartholomew ""Butch"" Cavendish (Christopher Lloyd), he is rescued by an old childhood Comanche friend, Tonto (Michael Horse). When he recovers from his wounds, he dedicates his life to fighting the crime that Cavendish represents. To this end, John Reid disguises himself and becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Ulysses S. Grant (Jason Robards, Jr.) when Cavendish takes him hostage. We learn that Cavendish was an officer in the United States military before he was court-martialled and dishonorably discharged.","Action, Adventure, Drama","Klinton Spilsbury, Michael Horse, Christopher Lloyd","Ivan Goff, Ben Roberts, Michael Kane",William A. Fraker,4.9
Sphinx,1981,exact,Sphinx,1981,"Egyptologist Erica Baron finds more than she bargained for during her long-planned trip to The Land of the Pharoahs: murder, theft, betrayal, love, and a mummy's curse.","Adventure, Mystery, Thriller","Lesley-Anne Down, Frank Langella, Maurice Ronet","John Byrum, Robin Cook",Franklin J. Schaffner,5.1
Night School,1981,exact,Night School,1981,"A Boston police detective investigates a series of gruesome decapitations of various college coeds commited by a helmeted, black-leather clad serial killer which leads him to suspect a well known anthropology professor as well as his female live-in assistant.","Horror, Mystery, Thriller","Leonard Mann, Rachel Ward, Drew Snyder",Ruth Avergon,Ken Hughes,5.6
An Eye for an Eye,1981,exact,An Eye for an Eye,1981,Sean Kane is forced to resign from the San Francisco Police Department's Narcotics Division when he goes berserk after his partner is murdered. He decides to fight alone and follows a trail of drug traffickers into unexpected high places.,"Action, Adventure, Crime","Chuck Norris, Christopher Lee, Richard Roundtree","James Bruner, William Gray",Steve Carver,5.5
Zoot Suit,1981,exact,Zoot Suit,1981,"A kind of musical accompanying the story of the early 1940's and the effect that the ""zoot suit"" (a man's suit of long jacket and pegged pants, always worn with a long keychain that looped almost to the ankle.... the rebellious fashion of young men) had on the morals and attitudes of the people of that era.","Drama, Musical","Daniel Valdez, Edward James Olmos, Charles Aidman",Luis Valdez,Luis Valdez,6.7
Rich and Famous,1981,exact,Rich and Famous,1981,"Liz and Merry Noel become friends as college roommates and their friendship endures over the years. Liz becomes a respected ""serious"" novelist. Merry Noel marries, has a daughter and writes, too: ""trash"" fiction which becomes enormously successful. Their story begins in college and jumps ahead some years at a time to show their relationship with each other and those in their orbits as they grow and mature.",Drama,"Jacqueline Bisset, Candice Bergen, David Selby","John Van Druten, Gerald Ayres",George Cukor,5.8
Buddy Buddy,1981,exact,Buddy Buddy,1981,"A hitman is bumping off the witnesses in a Mafia trial. Only one witness remains and the hitman checks in at a hotel with the aim of shooting the witness from his window. Checking in next door is a depressed man, suicidal due to his wife having an affair with her doctor. His issues accidentally stymie the hitman at every turn.",Comedy,"Jack Lemmon, Walter Matthau, Paula Prentiss","Francis Veber, Billy Wilder, I.A.L. Diamond",Billy Wilder,6.5
Bustin' Loose,1981,exact,Bustin' Loose,1981,"After violating his probation, ex-con Joe Braxton is given a second chance at freedom: schoolteacher Vivian Perry hires him to repair an old school bus and use it to drive a group of special-education kids from Philadelphia, where their home, The Clarmont Center for Children, is being shut down, to their new home at Ms. Perry's Washington Farm. The kids have severe mental problems and Joe is not looking forward to the trip, but he starts to bond with them and Vivian and offers his support and love as he changes his outlook on life. But social worker Donald, who gave Joe his break (and is Vivian's lover), is hot on their trail and wants Joe back in prison. Joe and Vivian must now stop Donald from sending the children back to Philadelphia, where they'll have no future.","Comedy, Drama","Richard Pryor, Cicely Tyson, Angel Ramirez Jr.","Lonne Elder III, Richard Pryor, Roger L. Simon","Oz Scott, Michael Schultz",6.0
Modern Romance,1981,exact,Modern Romance,1981,"Robert Cole, a film editor, is constantly breaking up with and reconciling with long-suffering girl friend Mary Harvard, who works at a bank. He is irrationally jealous and self-centered, while Mary has been too willing to let him get away with his disruptive antics. Can they learn to live with each other? Can they learn to live without each other? The movie also provides insight into film editing as Robert and co-worker Jay work on their current project, a cheesy sci-fi movie.","Comedy, Romance","Albert Brooks, Kathryn Harrold, Tyann Means","Albert Brooks, Monica Mcgowan Johnson",Albert Brooks,7.0
Heartbeeps,1981,exact,Heartbeeps,1981,"Val and Aqua are two household servant robots who start feeling emotions for each other. After falling in love, they decide to escape from their servitude and attempt to start a family of their own.","Comedy, Sci-Fi","Andy Kaufman, Bernadette Peters, Randy Quaid",John Hill,Allan Arkush,4.2
Back Roads,1981,exact,Back Roads,1981,"A prostitute and a drifter find themselves bound together as they make their way through the rural South, doing what they have to do to survive.","Adventure, Comedy, Romance","Sally Field, Tommy Lee Jones, David Keith",Gary DeVore,Martin Ritt,5.7
Take This Job and Shove It,1981,exact,Take This Job and Shove It,1981,"The ""Alison Group"" has bought four beer breweries in difficulties. The young but rising top Manager Frank Macklin is sent to reorganize one of them, the one which happens to be the main company in his hometown. At first his old buddies are reluctant to have him as new boss, but since he can't save all of them from the severe changes, the climate soon changes. Then he learns that he increased the profit so much, that his bosses have decided to resell his brewery profitably to an incompetent Texas oil millionaire.",Comedy,"Robert Hays, Art Carney, Barbara Hershey","Barry Schneider, Jeffrey Bernini",Gus Trikonis,5.0
Raggedy Man,1981,exact,Raggedy Man,1981,"In 1944, divorcee Nita Longley has been brought into the small town of Gregory, Texas by the telephone company to work as its switchboard operator, a job which requires her to be at the switchboard day and night. Her boss Mr. Rigby tells her that the job would only be a stepping-stone to a more-lucrative job with regular working hours, but then he tells her that the war has frozen her position. Now Nita feels trapped, living in the telephone-switchboard office building with her two songs, adolescent Harry and infant Henry. Her divorcee status makes many of the townsfolk, especially the men, view her with contempt or She was originally told by her boss Mr. Rigby that this job would only be a stepping-stone to a more lucrative job with regular working hours, which Mr. Rigby seems to be reneging on since he has now told her that her position is frozen due to the war. As such, Nita feels trapped by this situation. Nita lives in the telephone switchboard office building with her two sons, adolescent Harry and infant Henry. Because of her marital status, many of the townsfolk, especially the men, scorn her as a loose woman. One evening, Teddy Roebuck, a sailor on a four-day furlough who is hitchhiking back to his home in Ardmore, Oklahoma, stops by to make a telephone call. When he learns that the reason for his trip home no longer exists, Teddy decides to stay in Gregory instead and befriends Nita and her boys; eventually Nita and Teddy fall in love. The stranger's arrival annoys locals Calvin and Arnold, who have been pursuing Nita, who has rebuffed their advances. The town's unidentified disfigured man, whom Nita fears, may ultimately provide her with the ability to move on with her life.",Drama,"Sissy Spacek, Eric Roberts, Sam Shepard","William D. Wittliff, Sara Clark",Jack Fisk,6.8
Whose Life Is It Anyway?,1981,exact,Whose Life Is It Anyway?,1981,"Ken Harrison is an artist who makes sculptures. One day he is involved in a car accident, and is paralyzed from his neck down. All he can do is talk, and he wants to die. In hospital he make friends with some of the staff, and they support him when he goes to trial to be allowed to die.","Comedy, Drama","Richard Dreyfuss, John Cassavetes, Christine Lahti","Brian Clark, Reginald Rose, John Badham",John Badham,7.3
Inchon,1981,exact,Inchon,1981,"During the Korean War, General Douglas MacArthur masterminds the amphibious invasion of Inchon in September 1950.","Drama, History, War","Laurence Olivier, Jacqueline Bisset, Ben Gazzara","Robin Moore, Laird Koenig, Paul Savage",Terence Young,2.8
All Night Long,1981,exact,All Night Long,1981,"Executive George Dupler loses his temper and is demoted to the night manager at a 24 hour drugstore. After he suggests to his teenage son Freddie that he stop having an affair with suburban housewife Cheryl Gibbons, who is a distant cousin, Cheryl tries to seduce George. At home, in front of his mother, Freddie accuses his dad of stealing his girl, because he found Cheryl serving George a meal in the middle of the night, while her husband Bobby was on duty at the fire station. George then separates from his wife Helen, quits his job, moves into a warehouse, and asks Cheryl to move in with him.","Comedy, Drama, Romance","Gene Hackman, Barbra Streisand, Diane Ladd",W.D. Richter,Jean-Claude Tramont,5.5
The Pursuit of D.B. Cooper,1981,exact,The Pursuit of D.B. Cooper,1981,"A speculation on the fate of the famous hijacker who parachuted with his ransom and disappeared in the mountains, has Cooper following a meticulous plan to disappear into anonymity despite the best efforts of a dogged cop.","Adventure, Crime, Drama","Robert Duvall, Treat Williams, Kathryn Harrold","J.D. Reed, Jeffrey Alan Fiskin, Buzz Kulik","Roger Spottiswoode, Buzz Kulik",5.6
Rollover,1981,exact,Rollover,1981,"Lee Winters, the go-getting widow of a murdered petrochemical company chairman, and Hubbell Smith, a professional sent by the First New York Bank chairman Maxwell Emery to investigate the liquidity of one of their banks, fall for each other and team up to get to the bottom of things. Their investigations lead them to the discovery of an international financial scheme involving her husband's company and the Arab states that could lead to global economic collapse and render U.S. dollar worthless.","Drama, Mystery, Romance","Jane Fonda, Kris Kristofferson, Hume Cronyn","Howard Kohn, David Shaber, David Weir",Alan J. Pakula,5.4
Only When I Laugh,1981,exact,Only When I Laugh,1981,"A boozy Broadway actress comes out of a 12-week cure to face the problems of her best friends as well as her needy daughter. She tries to balance the terrors of returning to work with the demands of all around her with humor and insight, while staying off the booze.","Comedy, Drama","Marsha Mason, Kristy McNichol, Ed Moore",Neil Simon,Glenn Jordan,6.4
Honky Tonk Freeway,1981,exact,Honky Tonk Freeway,1981,"Ticlaw, a small town in Florida, has only one attraction: a safari park. The government constructs a freeway that passes near Ticlaw, but decides not to put an exit into the town. The people of Ticlaw, led by its Mayor, will do anything in order to convince the governor to alter the project.","Action, Comedy","David Rasche, Paul Jabara, Howard Hesseman",Edward Clinton,John Schlesinger,5.2
Paternity,1981,exact,Paternity,1981,"Forty-four year old Buddy Evans, an executive at Madison Square Garden, is considered one of the most eligible bachelors in the city. But rather than be a womanizer at this stage of his life, although he has had his fair share of female companions, he feels what he is missing to be truly fulfilled is a biological son. Not wanting a wife, he decides to achieve his goal by getting one of his former girlfriends to be a surrogate to carry a child, who he would raise without her. Not as easy to find that surrogate among the women he knows, he ultimately finds a willing woman in Maggie, a waitress at a restaurant he frequents. A struggling musician - a trumpet player - who needs the money to attend a prestigious music academy in Paris, Maggie also agrees in wanting to feel that part of being a woman without the responsibility of being a mother. As Buddy and Maggie go through the process of trying to become biological parents under this legal, financial and unemotional arrangement, they may come to other realizations of what they want in life which may or may not be compatible with each other and this immediate goal of the child.","Comedy, Romance","Burt Reynolds, Beverly D'Angelo, Norman Fell",Charlie Peters,David Steinberg,4.9
King of the Mountain,1981,exact,King of the Mountain,1981,"A group of friends race their high-powered cars up and down a dangerous and deadly mountain road known as Mulholland Drive to see who can claim the title of ""King of the Mountain.""","Action, Adventure, Drama","Harry Hamlin, Joseph Bottoms, Deborah Van Valkenburgh","David Barry, Leigh Chapman, H.R. Christian",Noel Nosseck,5.5
Scream,1981,exact,Scream,1981,"A group of friends on a rafting trip down a river stop in at an old ghost town to spend the night. Soon their rafts disappear, and then they begin to be eliminated one by one by a mysterious killer.","Horror, Mystery","Pepper Martin, Hank Worden, Ethan Wayne",Byron Quisenberry,Byron Quisenberry,2.8
The Devil and Max Devlin,1981,exact,The Devil and Max Devlin,1981,"When Max dies in an accident, he goes straight to hell. But the devil Barney makes him an offer: if he manages to get three innocent youths to sell him their souls in the next two months, he may stay on earth. Max accepts, and returns to earth, equipped with special powers. However his task is harder than expected, especially when 7 years old Tobi demands that he marry his mother.","Comedy, Family, Fantasy","Elliott Gould, Bill Cosby, Susan Anspach","Mary Rodgers, Jimmy Sangster",Steven Hilliard Stern,5.0
The Amateur,1981,exact,The Amateur,1981,"A CIA operative takes justice in his own hands, as his girlfriend is brutally murdered by terrorists. He carefully designs a plan to hunt down the terrorists, after the crime, and executes them one by one.","Action, Crime, Thriller","John Savage, Christopher Plummer, Marthe Keller","Robert Littell, Diana Maddox",Charles Jarrott,5.8
Longshot,1981,exact,Longshot,1981,Leif Garrett as a young foosball player who wants to earn the big dollars that will be used to play soccer in Europe by winning the foosball world championships.,"Comedy, Drama, Sport","Leif Garrett, Linda Manz, Ralph Seymour","Barry Rosen, Laura Greenwood, Donald Paonessa",E.W. Swackhamer,4.8
Comin' at Ya!,1981,exact,Comin' at Ya!,1981,"Tragedy strikes as two ruthless brothers kidnap a bride during her wedding. Hurt and angry, H.H. begins his quest to find the love he lost, and take vengeance upon the wicked. Comin' at Ya.",Western,"Tony Anthony, Gene Quintano, Victoria Abril","Wolfe Lowenthal, Lloyd Battista, Gene Quintano",Ferdinando Baldi,5.2
Le Pont du Nord,1981,exact,Le Pont du Nord,1981,"A woman recently released from prison and a strange young female street urchin keep running into each other on the streets of Paris and finally become companions in a very strange and very weird mysterious adventure that includes a secret map of Paris, and murky figures from the criminal world.","Adventure, Crime, Drama","Bulle Ogier, Pascale Ogier, Pierre Clémenti","Bulle Ogier, Pascale Ogier, Suzanne Schiffman",Jacques Rivette,6.8
Silence of the North,1981,exact,Silence of the North,1981,"Based on the biography of Olive Fredrickson, It tells of her life as a girl, then a trapper's wife and later a widow with three small children surviving under rugged pioneer conditions in northern Alberta Canada from the early 1900's through to the Depression.",Drama,"Ellen Burstyn, Tom Skerritt, Gordon Pinsent","Olive Frederickson, Ben East, Patricia Louisianna Knop",Allan King,6.4
Fast Times at Ridgemont High,1982,exact,Fast Times at Ridgemont High,1982,"Follows a group of high school students growing up in southern California, based on the real-life adventures chronicled by Cameron Crowe. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. The center of the film is held by Jeff Spicoli, a perpetually stoned surfer dude who faces off with the resolute Mr. Hand, who is convinced that everyone is on dope.","Comedy, Drama","Sean Penn, Jennifer Jason Leigh, Judge Reinhold",Cameron Crowe,Amy Heckerling,7.1
Blade Runner,1982,exact,Blade Runner,1982,"In the early twenty-first century, the Tyrell Corporation, during what was called the Nexus phase, developed robots, called ""replicants"", that were supposed to aid society, the replicants which looked and acted like humans. When the superhuman generation Nexus 6 replicants, used for dangerous off-Earth endeavors, began a mutiny on an off-Earth colony, replicants became illegal on Earth. Police units, called ""blade runners"", have the job of destroying - or in their parlance ""retiring"" - any replicant that makes its way back to or created on Earth, with anyone convicted of aiding or assisting a replicant being sentenced to death. It's now November, 2019 in Los Angeles, California. Rick Deckard, a former blade runner, is called out of retirement when four known replicants, most combat models, have made their way back to Earth, with their leader being Roy Batty. One, Leon Kowalski, tried to infiltrate his way into the Tyrell Corporation as an employee, but has since been able to escape. Beyond following Leon's trail in hopes of finding and retiring them all, Deckard believes part of what will help him is figuring out what the replicants wanted with the Tyrell Corporation in trying to infiltrate it. The answer may lie with Tyrell's fail-safe backup mechanism. Beyond tracking the four, Deckard faces a possible dilemma in encountering a fifth replicant: Rachael, who works as Tyrell's assistant. The issue is that Dr. Elden Tyrell is experimenting with her, to provide her with fake memories so as to be able to better control her. With those memories, Rachael has no idea that she is not human. The problem is not only Rachael's assistance to Deckard, but that he is beginning to develop feelings for her.","Action, Drama, Sci-Fi","Harrison Ford, Rutger Hauer, Sean Young","Hampton Fancher, David Webb Peoples, Philip K. Dick",Ridley Scott,8.1
The Thing,1982,exact,The Thing,1982,"A US research station, Antarctica, early-winter 1982. The base is suddenly buzzed by a helicopter from the nearby Norwegian research station. They are trying to kill a dog that has escaped from their base. After the destruction of the Norwegian chopper the members of the US team fly to the Norwegian base, only to discover them all dead or missing. They do find the remains of a strange creature the Norwegians burned. The Americans take it to their base and deduce that it is an alien life form. After a while it is apparent that the alien can take over and assimilate into other life forms, including humans, and can spread like a virus. This means that anyone at the base could be inhabited by The Thing, and tensions escalate.","Horror, Mystery, Sci-Fi","Kurt Russell, Wilford Brimley, Keith David","Bill Lancaster, John W. Campbell Jr.",John Carpenter,8.2
Conan the Barbarian,1982,exact,Conan the Barbarian,1982,"Beyond the mists of time, having witnessed the brutal death of his blacksmith father and the massacre of the entire village by the murderous followers of Thulsa Doom, the undead evil wizard and servant of the serpent-god, Set, Conan, the orphaned young Cimmerian, is condemned to a life of slavery. Chained to the perpetual Wheel of Pain, the helpless boy grows into a man, and after years of rigorous training as a fierce gladiator, Conan, now an unstoppable mountain of muscle, regains his precious freedom. But, with the image of the blood-soaked raid etched on his mind, Conan teams up with Subotai, the Hyrkanian thief, and Valeria, the Queen of the Bandits, and embarks on a peril-laden journey to the mysterious Mountain of Power, and the impregnable Snake Cult Temple. Will Conan avenge his parents?","Adventure, Fantasy","Arnold Schwarzenegger, James Earl Jones, Max von Sydow","Robert E. Howard, John Milius, Oliver Stone",John Milius,6.9
E.T. the Extra-Terrestrial,1982,exact,E.T. the Extra-Terrestrial,1982,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.","Adventure, Family, Sci-Fi","Henry Thomas, Drew Barrymore, Peter Coyote",Melissa Mathison,Steven Spielberg,7.9
First Blood,1982,exact,First Blood,1982,"John J. Rambo is a former United States Special Forces soldier who fought in Vietnam and won the Congressional Medal of Honor, but his time in Vietnam still haunts him. As he came to Hope, Washington to visit a friend, he was guided out of town by the Sheriff William Teasel who insults Rambo, but what Teasel does not know that his insult angered Rambo to the point where Rambo became violent and was arrested. As he was at the county jail being cleaned, he escapes and goes on a rampage through the forest to try to escape from the sheriffs who want to kill him. Then, as Rambo's commanding officer, Colonel Samuel Trautman tries to save both the Sheriff's department and Rambo before the situation gets out of hand.","Action, Adventure, Thriller","Sylvester Stallone, Brian Dennehy, Richard Crenna","David Morrell, Michael Kozoll, William Sackheim",Ted Kotcheff,7.7
An Officer and a Gentleman,1982,exact,An Officer and a Gentleman,1982,"Zack Mayo is a young man who has signed up for Navy Aviation Officer Candidate School. He is a Navy brat who has a bad attitude problem. Gunnery Sergeant Emil Foley is there to train and evaluate him, and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family, and must decide what it is he wants to do with his life.","Drama, Romance","Richard Gere, Debra Winger, David Keith",Douglas Day Stewart,Taylor Hackford,7.1
Grease 2,1982,exact,Grease 2,1982,"Two years after the life-altering events in Grease (1978), Sandy's cousin Michael, a straight-laced English student, is the new guy at Rydell High. Stephanie, the Pink Ladies' foxy blonde leader, is about to break up with Johnny, the T-Birds' leader, but she still likes her men dangerous, even as Michael starts to attract her attention. Now Michael needs to up his game: learn how to ride a motorcycle and transform himself into Stephanie's hot leather-clad fantasy. Is he up to the task?","Comedy, Music, Musical","Michelle Pfeiffer, Maxwell Caulfield, Lorna Luft","Ken Finkleman, Jim Jacobs, Warren Casey",Patricia Birch,4.6
Annie,1982,exact,Annie,1982,"In the depths of the 1930s, Annie (Aileen Quinn) is a fiery young orphan girl who must live in a miserable orphanage run by the tyrannical Miss Agatha Hannigan (Carol Burnett). Her seemingly hopeless situation changes dramatically when she is selected to spend a short time at the residence of the wealthy munitions industrialist, Oliver ""Daddy"" Warbucks (Albert Finney). Quickly, she charms the hearts of the household staff and even the seemingly cold-hearted Warbucks cannot help but learn to love this wonderful girl. He decides to help Annie find her long-lost parents by offering a reward if they would come to him and prove their identity. However, Miss Agatha Hannigan, her evil brother, Daniel Francis ""Rooster"" Hannigan (Tim Curry), and a female accomplice, plan to impersonate those people to get the reward for themselves, which puts Annie in great danger.","Comedy, Drama, Family","Aileen Quinn, Albert Finney, Carol Burnett","Carol Sobieski, Thomas Meehan, Martin Charnin",John Huston,6.6
