name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
Any Which Way You Can,1980,exact,Any Which Way You Can,1980,"Philo Beddoe (Clint Eastwood) takes part in a bare knuckle fight, as he does, to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia comes along and arranges another fight, he is pushed into it. A motorcycle gang and an orangutan called Clyde (C.J. the Orangutan) all add to the ""fun"".","Action, Comedy","Clint Eastwood, Sondra Locke, Geoffrey Lewis","Stanford Sherman, Jeremy Joe Kronsberg",Buddy Van Horn,6.1
The Gods Must Be Crazy,1980,exact,The Gods Must Be Crazy,1980,"A Sho in the Kalahari desert encounters technology for the first time--in the shape of a Coke bottle. He takes it back to his people, and they use it for many tasks. The people start to fight over it, so he decides to return it to the God--where he thinks it came from. Meanwhile, we are introduced to a clumsy biologist, a schoolteacher assigned to a small village, and a despotic revolutionary.","Adventure, Comedy","Marius Weyers, Sandra Prinsloo, N!xau",Jamie Uys,Jamie Uys,7.3
Popeye,1980,exact,Popeye,1980,"Popeye, a squinty-eyed, corn cob pipe smoking, spinach hating, mumbling sailor man with overly muscular forearms partly the result of genetics, has just arrived in the port town of Sweethaven. He has been sailing the seven seas in search of his father who abandoned him when he was two. He is viewed suspiciously by many in town, with an exception of Wimpy, who will become friends with anyone who will buy him a hamburger, he otherwise paying for said hamburger on Tuesday if he can get it today. One who does view him suspiciously is Olive Oyl, the lanky, work boots wearing daughter of his rooming house landlords. Due to the changing situation, including they discovering an abandoned infant boy who Popeye names Swee'pea in honor of the town and who they decide to raise, Popeye and Olive fall for each other, Olive in the process leaving who was to be her fiancé, Bluto, the town bully who rules Sweethaven on behalf of the mysterious Commodore. Bluto does not take this emerging situation lying down, he using Swee'pea as a pawn in getting Olive Oyl back. What happens in this situation in Popeye fighting for both Olive Oyl and Swee'pea is partly affected by discovery of what happened to his father.","Adventure, Comedy, Family","Robin Williams, Shelley Duvall, Ray Walston","Jules Feiffer, E.C. Segar",Robert Altman,5.4
Ordinary People,1980,exact,Ordinary People,1980,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",Drama,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch","Judith Guest, Alvin Sargent, Nancy Dowd",Robert Redford,7.7
Dressed to Kill,1980,exact,Dressed to Kill,1980,"While taking a shower, Kate Miller, a middle-aged, sexually frustrated New York City housewife, has a rape fantasy while her husband stands at the sink shaving. Later that day, after complaining to her psychiatrist Dr. Robert Elliott about her husband's pathetic performance in bed, she meets a strange man at a museum and returns to his apartment where they continue an adulterous encounter that began in the taxicab. Before she leaves his apartment, she finds papers which certify that the man has a venereal disease. Panicked, Kate rushes into the elevator, but has to return to his apartment when she realizes she's forgotten her wedding ring. When the elevator doors open, she's brutally slashed to death by a tall blonde woman wearing dark sunglasses. Liz Blake, a high-class call girl, is the only witness to the murder and she becomes the prime suspect and the murderer's next target. Liz is rescued from being killed by Kate's son Peter, who enlists the help of Liz to catch his mother's killer as Detective Marino, who's in charge of the case, is uncooperative in the investigation.","Crime, Drama, Mystery","Michael Caine, Angie Dickinson, Nancy Allen",Brian De Palma,Brian De Palma,7.0
Somewhere in Time,1980,exact,Somewhere in Time,1980,"The movie opens with college student Richard Collier gathering rave reviews for his debut play. At the party, he comes face to face with an old woman who presses something in his hand and whispers ""Come back to me."" He opens his hand to find an old pocket watch. Eight years later, Collier is a successful playwright in the middle of a break-up and writer's block. He leaves Chicago for awhile to think things out and finds himself near his alma mater at the Grand Hotel. While wandering around the hotel, he finds a photograph of a beautiful young woman. Richard is entranced, and attempts to find out whatever he can about her. During the course of his research, he learns she was Elise McKenna, a famous actress from the turn of the century. He also discovers she was the mysterious old woman who gave him the pocket watch. Finally determining that he must meet her somehow, he employs self-hypnosis and wills himself back to 1912. He meets Elise and they fall in love, which does not make her manager, William Fawcett Robinson, rather happy. Will their love survive Robinson's disapproval? Will Richard be able to remain in 1912?","Drama, Fantasy, Romance","Christopher Reeve, Jane Seymour, Christopher Plummer",Richard Matheson,Jeannot Szwarc,7.2
Fame,1980,exact,Fame,1980,"At the New York City High School for the Performing Arts, students get specialized training that often leads to success as actors, singers, etc. This movie follows eight students from the time when they audition to get into the school, through graduation. Among these are the brazen Coco Hernandez, shy Doris Finsecker, sensitive gay Montgomery MacNeil, and brash, abrasive Ralph Garcy.","Drama, Music, Musical","Eddie Barth, Irene Cara, Lee Curreri",Christopher Gore,Alan Parker,6.6
9 to 5,1980,exact,9 to 5,1980,"Meet Franklin Hart (Dabney Coleman). The biggest ""sexist, egotistical, lying, hypocritical bigot"" boss on the planet. He thrills in taking advantage of his head female office staff; humiliating, downplaying, and condescending against them whenever conveniently possible, particularly his top assistant Violet (Lily Tomlin). Long-exhausted over his gruesome bullishness, Violet, alongside co-workers Doralee (Dolly Parton) and Judy (Jane Fonda) comprise comical methods of ""doing him in"", when a freak incident occurs. They then manage to kidnap Hart and trap him in his own house, while assuming control of his department, and productivity leaps. But just how long can they keep him tied up?",Comedy,"Jane Fonda, Lily Tomlin, Dolly Parton","Patricia Resnick, Colin Higgins",Colin Higgins,6.9
The Fog,1980,exact,The Fog,1980,"Against the backdrop of spine-chilling stories of drowned mariners and a 100-year-old shipwreck lying on the bottom of the sea, the peaceful coastal town of Antonio Bay, California is making preparations to celebrate its centennial. However--as strange supernatural occurrences blemish the festivities--a dense fog starts to shroud the seaside town, leading to unaccountable disappearances. A century ago, a hideous crime was committed by the town's elders. Now, the restless dead have returned for revenge. Is there something evil lurking in the fog?","Horror, Thriller","Adrienne Barbeau, Jamie Lee Curtis, Janet Leigh","John Carpenter, Debra Hill",John Carpenter,6.8
Stir Crazy,1980,exact,Stir Crazy,1980,Skip and Harry are framed for a bank robbery and end up in a western prison. The two eastern boys are having difficulty adjusting to the new life until the warden finds that Skip has a natural talent for riding broncos with the inter-prison rodeo coming up.,"Comedy, Crime","Gene Wilder, Richard Pryor, Georg Stanford Brown","Bruce Jay Friedman, Charles Blackwell",Sidney Poitier,6.7
Cruising,1980,exact,Cruising,1980,"A serial killer brutally slays and dismembers several gay men in New York's S&amp;M and leather districts. The young police officer Steve Burns is sent undercover onto the streets as decoy for the murderer. Working almost completely isolated from his department, he has to learn and practice the complex rules and signals of this little society. While barely seeing his girlfriend Nancy anymore, the work starts changing him.","Crime, Drama, Mystery","Al Pacino, Paul Sorvino, Karen Allen","William Friedkin, Gerald Walker",William Friedkin,6.5
